source_path,source_full_url,parsed_name,parsed_city,parsed_specialty,best_candidate,candidate_address,navoria_target_url,match_score,second_best_score,status
/hausarzt/ulm/dr-med-frank-riederle-ulm,https://rzte-online.vercel.app/hausarzt/ulm/dr-med-frank-riederle-ulm,frank riederle ulm,ulm,hausarzt,Dr. med. Frank Riederle,"Schlossergasse 1, 89077 Ulm",https://navoria.de/praxis/ulm/dr-med-frank-riederle-OVfBD4,0.872,0.603,SAFE
/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,https://rzte-online.vercel.app/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,natalya klassen landau,landau,frauenarzt,,,,,,UNMATCHED
/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,https://rzte-online.vercel.app/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,andrey nefedev julia carolin nefedev castrop rauxel,castrop-rauxel,hausarzt,Evangelisches Krankenhaus Castrop-Rauxel,"Grutholzallee 21, 44577 Castrop-Rauxel",https://navoria.de/praxis/castrop-rauxel/evangelisches-krankenhaus-castrop-rauxel-EQJ1eA,0.531,0.521,REVIEW
/hausarzt/weimar/dr-med-heiko-filz-weimar,https://rzte-online.vercel.app/hausarzt/weimar/dr-med-heiko-filz-weimar,heiko filz weimar,weimar,hausarzt,,,,,,UNMATCHED
/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,https://rzte-online.vercel.app/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,katja khn leipzig,leipzig,hausarzt,Praxis Dr. Kautz Leipzig,"Ferdinand-Rhode-Straße 3B, 04107 Leipzig",https://navoria.de/praxis/leipzig/praxis-dr-kautz-leipzig-JoBF20,0.734,0.635,REVIEW
/hno-arzt/lorsch/hno-praxis-lorsch-dr-med-sabine-weiss-lorsch,https://rzte-online.vercel.app/hno-arzt/lorsch/hno-praxis-lorsch-dr-med-sabine-weiss-lorsch,hno lorsch sabine weiss lorsch,lorsch,hno-arzt,,,,,,UNMATCHED
/hausarzt/frankenthal/dr-med-duc-chung-bui-facharzt-fuer-allgemeinmedizin-notfallmedizin,https://rzte-online.vercel.app/hausarzt/frankenthal/dr-med-duc-chung-bui-facharzt-fuer-allgemeinmedizin-notfallmedizin,duc chung bui,frankenthal,hausarzt,,,,,,UNMATCHED
/hausarzt/pattensen/frau-claudia-timm-pattensen,https://rzte-online.vercel.app/hausarzt/pattensen/frau-claudia-timm-pattensen,claudia timm pattensen,pattensen,hausarzt,,,,,,UNMATCHED
/arzt/korbach/herr-walter-brggemann-korbach,https://rzte-online.vercel.app/arzt/korbach/herr-walter-brggemann-korbach,walter brggemann korbach,korbach,arzt,,,,,,UNMATCHED
/hausarzt/offenbach/dr-med-r-kappus-offenbach,https://rzte-online.vercel.app/hausarzt/offenbach/dr-med-r-kappus-offenbach,kappus offenbach,offenbach,hausarzt,Dr. med. R. Kappus,"Berliner Str. 75, 63065 Offenbach am Main-Frankfurt-Ost",https://navoria.de/praxis/offenbach-am-main/dr-med-r-kappus-0CTdkI,0.825,0.731,REVIEW
/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,https://rzte-online.vercel.app/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,katja heim neusatz aleksandar griesser aleksic eisenach,eisenach,hausarzt,,,,,,UNMATCHED
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,https://rzte-online.vercel.app/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,qassim al saadawi muenchen,muenchen,hausarzt,Allgemeinmedizin München Ost,"Achentalstraße 10A, 81671 München",https://navoria.de/praxis/muenchen/allgemeinmedizin-muenchen-ost-n0oem8,0.650,0.631,REVIEW
/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,https://rzte-online.vercel.app/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,volker dittschar andr otto homberg,homberg,hausarzt,,,,,,UNMATCHED
/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,https://rzte-online.vercel.app/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,beate abuzahra,erkelenz,hausarzt,,,,,,UNMATCHED
/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,https://rzte-online.vercel.app/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,bernhard roesen neutraubling,neutraubling,augenarzt,Dr.med. Bernhard Roesen,"Aussiger Str. 11, 93073 Neutraubling",https://navoria.de/praxis/neutraubling/drmed-bernhard-roesen-tmMPvY,0.907,0.613,SAFE
/hausarzt/hagen/dr-med-m-farsab-hagen,https://rzte-online.vercel.app/hausarzt/hagen/dr-med-m-farsab-hagen,farsab hagen,hagen,hausarzt,Dr. Med. M. Farsab,"Friedrich-Ebert-Platz 2, 58095 Hagen",https://navoria.de/praxis/hagen/dr-med-m-farsab-Hz_8uU,0.825,0.638,REVIEW
/hausarzt/pinneberg/frau-dr-med-mechthild-tammen-pinneberg,https://rzte-online.vercel.app/hausarzt/pinneberg/frau-dr-med-mechthild-tammen-pinneberg,mechthild tammen pinneberg,pinneberg,hausarzt,,,,,,UNMATCHED
/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,https://rzte-online.vercel.app/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,ildiko husar oberndorf,oberndorf,frauenarzt,,,,,,UNMATCHED
/hausarzt/landau/praxis-dr-manfred-lehmann-landau,https://rzte-online.vercel.app/hausarzt/landau/praxis-dr-manfred-lehmann-landau,manfred lehmann landau,landau,hausarzt,,,,,,UNMATCHED
/hausarzt/troisdorf/dr-heeg-troisdorf,https://rzte-online.vercel.app/hausarzt/troisdorf/dr-heeg-troisdorf,heeg troisdorf,troisdorf,hausarzt,MVZ Rhein-Sieg • Troisdorf,"Hospitalstraße 45, 53840 Troisdorf",https://navoria.de/praxis/troisdorf/mvz-rhein-sieg-troisdorf-mNJ4jI,0.675,0.675,REVIEW
/hausarzt/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich,https://rzte-online.vercel.app/hausarzt/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich,klausenburg roland henrich,esslingen-am-neckar,hausarzt,Herr Dr. (IMF Klausenburg) Roland Henrich,"Schenkenbergstraße 70, 73733 Esslingen am Neckar-Mettingen",https://navoria.de/praxis/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich-H1TAQc,0.965,0.584,SAFE
