source,name,target,match_score
/augenarzt/schneeberg/herr-dr-med-thomas-windisch-schneeberg,Herr Dr. med. Thomas Windisch,https://navoria.de/praxis/schneeberg/herr-dr-med-thomas-windisch-jh7Cqg,0.98
/augenarzt/versmold/dr-nicola-buch-pleitner-versmold,Dr. Nicola Buch-Pleitner,https://navoria.de/praxis/versmold/dr-nicola-buch-pleitner-Vi4TDw,0.98
/augenarzt/weisswasseroberlausitz/dr-med-birgit-mder-weiwasseroberlausitz,Dr. med. Birgit Mäder,https://navoria.de/praxis/weisswasser-oberlausitz/dr-med-birgit-maeder-g8I2kk,0.98
/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,Frauenarztpraxis Natalya Klassen,https://navoria.de/praxis/landau-an-der-isar/frauenarztpraxis-natalya-klassen-v_zQC8,0.98
/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,Ildiko Husar Fachärztin für Frauenheilkunde und Geburtshilfe,https://navoria.de/praxis/oberndorf-am-neckar/ildiko-husar-fachaerztin-fuer-frauenheilkunde-und-geburtshilfe-Ndm_KY,0.98
/hausarzt/ahaus/dr-barbara-tielkes-ahaus,Dr. Barbara Tielkes,https://navoria.de/praxis/ahaus/dr-barbara-tielkes-4DQfWc,0.98
/hausarzt/altdorf/internistische-praxis-dr-brix-fischer-und-langer-altdorf,Internistische Praxis Dr. Brix Fischer und Langer,https://navoria.de/praxis/altdorf-bei-nuernberg/internistische-praxis-dr-brix-fischer-und-langer-BB9BB4,0.98
/hausarzt/angermuende/frau-dr-med-ursel-jarchow-angermnde,Frau Dr. med. Ursel Jarchow,https://navoria.de/praxis/angermuende/frau-dr-med-ursel-jarchow-kWArS0,0.98
/hausarzt/ansbach/dr-med-ulrike-may-ansbach,Dr. med. Ulrike May,https://navoria.de/praxis/ansbach/dr-med-ulrike-may-Hy90mE,0.98
/hausarzt/bad-muenstereifel/dr-thomas-kleinfeld-7663,Dr. Thomas Kleinfeld,https://navoria.de/praxis/bad-muenstereifel/dr-thomas-kleinfeld-6WtcwI,0.98
/hausarzt/bad-rappenau/anna-friederike-hund,Anna Friederike Hund,https://navoria.de/praxis/bad-rappenau/anna-friederike-hund-brT0YE,0.98
/hausarzt/bad-waldsee/herr-dr-hc-ulf-michael-deckers,Herr Dr. h.c. Ulf Michael Deckers,https://navoria.de/praxis/bad-waldsee/herr-dr-h-c-ulf-michael-deckers-BQP1Gk,0.98
/hausarzt/bad-wildungen/dr-med-anneli-freitag-schickram,Dr. med. Anneli Freitag-Schickram,https://navoria.de/praxis/bad-wildungen/dr-med-anneli-freitag-schickram-vLu2l0,0.98
/hausarzt/bad-wurzach/dr-bernd-lindenmaier-bad,Dr. Bernd Lindenmaier,https://navoria.de/praxis/bad-wurzach/dr-bernd-lindenmaier-7oSaKU,0.98
/hausarzt/bad/herr-dr-med-rainer-eisele-bad,Herr Dr. med. Rainer Eisele,https://navoria.de/praxis/bad-waldsee/herr-dr-med-rainer-eisele-i_f_ko,0.98
/hausarzt/bargteheide/drmedsandra-nagel-bargteheide,Dr.Med.Sandra Nagel,https://navoria.de/praxis/bargteheide/dr-med-sandra-nagel-0jegy0,0.98
/hausarzt/bautzen/dr-med-ekkehard-seeliger-facharzt-fuer-allgemeinmedizin,Dr. med. Ekkehard Seeliger Facharzt für Allgemeinmedizin,https://navoria.de/praxis/bautzen/dr-med-ekkehard-seeliger-facharzt-fuer-allgemeinmedizin-WuWyu4,0.9
/hausarzt/beckum/dr-med-hans-thomas-thompson,Dr. med. Hans-Thomas Thompson,https://navoria.de/praxis/beckum/dr-med-hans-thomas-thompson-LpEESo,0.9
/hausarzt/beelitz/frau-dipl-med-ramona-wendland-beelitz,Frau Dipl.-Med. Ramona Wendland,https://navoria.de/praxis/beelitz/frau-dipl-med-ramona-wendland-Ic8OZw,0.98
/hausarzt/berlin/dr-mehdi-rafii-berlin,Dr. Mehdi Rafii,https://navoria.de/praxis/berlin/dr-mehdi-rafii-hWB6jo,0.98
/hausarzt/betzdorf/drmed-rainer-banzhaf-facharzt-fr-allgemeinmedizin-betzdorf,Dr.med. Rainer Banzhaf Facharzt für Allgemeinmedizin,https://navoria.de/praxis/betzdorf/dr-med-rainer-banzhaf-facharzt-fuer-allgemeinmedizin-mpkUns,0.98
/hausarzt/biedenkopf/olessja-mrz-praxis-fr-allgemeinmedizin-biedenkopf,Olessja März Praxis für Allgemeinmedizin,https://navoria.de/praxis/biedenkopf/olessja-maerz-praxis-fuer-allgemeinmedizin-YNGO9k,0.98
/hausarzt/blankenburg-harz/dipl-med-rene-giesel-5452,Dipl.-Med. Rene Giesel,https://navoria.de/praxis/blankenburg-harz/dipl-med-rene-giesel-dVofIA,0.98
/hausarzt/bobingen/hausarzt-praxis-herr-alexander-eisinger-9087,Hausarzt Praxis Herr Alexander Eisinger,https://navoria.de/praxis/bobingen/hausarzt-praxis-herr-alexander-eisinger-NB78xI,0.9
/hausarzt/boeblingen/dr-iavorschi-bblingen,Dr. Iavorschi,https://navoria.de/praxis/boeblingen/dr-iavorschi-fYt1pQ,0.98
/hausarzt/borken-hessen/dr-med-sabine-hess-fachaerztin-f-allgemeinmedizin-2076,Dr. med. Sabine Heß Fachärztin f. Allgemeinmedizin,https://navoria.de/praxis/borken-hessen/dr-med-sabine-hess-fachaerztin-f-allgemeinmedizin-aakgnQ,0.98
/hausarzt/borken/drmed-pler-bernhard-borken,Dr.med. Päßler Bernhard,https://navoria.de/praxis/borken/dr-med-paessler-bernhard-1lddbE,0.98
/hausarzt/bramsche/herr-dr-medic-imf-klausenburg-gavrila-urlea-albert-bramsche,Herr Dr. medic. (IMF Klausenburg) Gavrila Urlea-Albert,https://navoria.de/praxis/bramsche/herr-dr-medic-imf-klausenburg-gavrila-urlea-albert-TT8Mw0,0.98
/hausarzt/bruehl/frau-eugenie-peters-brhl,Frau Eugenie Peters,https://navoria.de/praxis/bruehl/frau-eugenie-peters-htV5b0,0.98
/hausarzt/buchen-odenwald/herr-helmut-koenig-5360,Herr Helmut König,https://navoria.de/praxis/buchen-odenwald/herr-helmut-koenig-kSYPy8,0.98
/hausarzt/bueren/dr-pikrun-bren,Dr. Pikrun,https://navoria.de/praxis/bueren/dr-pikrun-WNIwrI,0.98
/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,Herr Dr. med. Christian Schweinberger,https://navoria.de/praxis/burghausen/herr-dr-med-christian-schweinberger-Te6A1s,0.98
/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,"Andrey Nefedev, Julia Carolin Nefedev",https://navoria.de/praxis/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-Q2apQk,0.98
/hausarzt/celle/frau-dr-med-gisela-winterhoff-celle,Frau Dr. med. Gisela Winterhoff,https://navoria.de/praxis/celle/frau-dr-med-gisela-winterhoff-WDOhbg,0.98
/hausarzt/clausthal-zellerfeld/frau-dr-med-friederike-bahr-clausthal-zellerfeld,Frau Dr. med. Friederike Bahr,https://navoria.de/praxis/clausthal-zellerfeld/frau-dr-med-friederike-bahr-ffb0nI,0.98
/hausarzt/cloppenburg/arztpraxis-tatjana-tissen-und-katharina-inomjonov-cloppenburg,Arztpraxis Tatjana Tissen und Katharina Inomjonov,https://navoria.de/praxis/cloppenburg/arztpraxis-tatjana-tissen-und-katharina-inomjonov-BkiuXw,0.98
/hausarzt/cloppenburg/drmed-holger-laing-cloppenburg,Dr.med. Holger Laing,https://navoria.de/praxis/cloppenburg/dr-med-holger-laing-QBvQmk,0.98
/hausarzt/coswig/dipl-med-maren-schumann-coswig,Dipl.-Med. Maren Schumann,https://navoria.de/praxis/coswig-anhalt/dipl-med-maren-schumann-kofDnI,0.98
/hausarzt/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer,Gemeinschaftspraxis Ulrich Rupp & Florian Setzer,https://navoria.de/praxis/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer-XTt3zQ,0.98
/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,Herr Dr. Gerhard Slavetinsky,https://navoria.de/praxis/crailsheim/herr-dr-gerhard-slavetinsky-RyO8HE,0.98
/hausarzt/cuxhaven/herr-dr-med-roland-hartwig-cuxhaven,Herr Dr. med. Roland Hartwig,https://navoria.de/praxis/cuxhaven/herr-dr-med-roland-hartwig-HvFjtw,0.98
/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,Pneumologenzentrum Dr. med. Gerald Eckhardt,https://navoria.de/praxis/delitzsch/pneumologenzentrum-dr-med-gerald-eckhardt-AKgefI,0.98
/hausarzt/ebersbach/frau-dr-med-danijela-arizanovic-ebersbach,Frau Dr. med. Danijela Arizanovic,https://navoria.de/praxis/ebersbach-an-der-fils/frau-dr-med-danijela-arizanovic-6KhZnQ,0.98
/hausarzt/eberswalde/dr-med-konstantin-zellmer-eberswalde,Dr. med. Konstantin Zellmer,https://navoria.de/praxis/eberswalde/dr-med-konstantin-zellmer--QT_Nw,0.98
/hausarzt/ehingen-donau/goetz-kitzig-2066,Götz Kitzig,https://navoria.de/praxis/ehingen-donau/goetz-kitzig-6urE2Q,0.98
/hausarzt/eichstaett/dr-med-margret-bauer-eichsttt,Dr. med. Margret Bauer,https://navoria.de/praxis/eichstaett/dr-med-margret-bauer-L1fwKw,0.98
/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,Gemeinschaftspraxis Dr. med Katja Heim & Dr. med. univ. Neusatz Aleksandar Griesser-Aleksic,https://navoria.de/praxis/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-g,0.98
