source_path,candidate_rank,name,city,address,specialty,profile_id,canonical_url,match_score
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,1,Zahnarzt München - Dental21,München,"Zweibrückenstraße 2, 80331 München",Zahnarzt,7185aab9-f488-4b10-a89d-f5b7eaea7d13,https://navoria.de/praxis/muenchen/zahnarzt-muenchen-dental21-7UcdxA,0.599
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,2,Zahnarzt München - Dental21,München,"Connollystraße 4, 80809 München",Zahnarzt,a79b7a4f-a993-47eb-a222-fa5bd67bf152,https://navoria.de/praxis/muenchen/zahnarzt-muenchen-dental21-_An6_Q,0.599
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,3,Zahnarzt München - Dental21,München,"Hans-Stützle-Straße 20, 81249 München-Aubing-Lochhausen-Langwied",Zahnarzt,fe18edd7-b06a-4a7a-bcc2-4b5d3f9d0402,https://navoria.de/praxis/muenchen/zahnarzt-muenchen-dental21-PPLsSg,0.599
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,4,AllDent Zahnzentrum München,München,"Bayerstraße 21, 80335 München",Zahnarzt,ba3db6da-8e74-4401-9efd-0ac87ae055e6,https://navoria.de/praxis/muenchen/alldent-zahnzentrum-muenchen-VXkGhg,0.570
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,5,Lab to Go | HAUSARZTPRAXIS MÜNCHEN MVZ | A84 | Dr. med. Gross & Kollegen | Labor- und Spezialdiagnostik,München,"EG (m. Stufe, Auenstraße 84, 80469 München",Hausarzt,8b429504-2ba9-4dd1-820e-39af4b8f302a,https://navoria.de/praxis/muenchen/lab-to-go-hausarztpraxis-muenchen-mvz-a84-dr-med-gross-kollegen-labor-und-spezia-NBoeaU,0.569
